idx	title	type	link	agency	date
147	NASA-UAP-VM3, Apollo 12, 1969	IMG	https://www.war.gov/medialink/ufo/release_1/nasa-uap-vm3-apollo-12-1969.jpg	NASA	1969
148	NASA-UAP-VM4, Apollo 12, 1969	IMG	https://www.war.gov/medialink/ufo/release_1/nasa-uap-vm4-apollo-12-1969.jpg	NASA	1969
149	NASA-UAP-VM5, Apollo 12, 1969	IMG	https://www.war.gov/medialink/ufo/release_1/nasa-uap-vm5-apollo-12-1969.jpg	NASA	1969
150	NASA-UAP-VM6, Apollo 17, 1972	IMG	https://www.war.gov/medialink/ufo/release_1/nasa-uap-vm6-apollo-17-1972.jpg	NASA	1972
151	State Department UAP Cable 1, Papua New Guinea, January 28, 1985 	PDF	https://www.war.gov/medialink/ufo/release_1/dos-uap-d1-cable-1-papua-new-guinea-january-1985.pdf	Department of State	1/24/85
152	State Department UAP Cable 2, Kazakhstan, January 31, 1994	PDF	https://www.war.gov/medialink/ufo/release_1/dos-uap-d2-cable-2-kazakhstan-january-1994.pdf	Department of State	1/27/94
153	State Department UAP Cable 3, Tbilisi, Georgia, October 30, 2001	PDF	https://www.war.gov/medialink/ufo/release_1/059uap00011.pdf	Department of State	10/28/2001-10/29/2001
154	State Department UAP Cable 4, Ashgabat, Turkmenistan, November 5, 2004	PDF	https://www.war.gov/medialink/ufo/release_1/059uap00012.pdf	Department of State	11/5/04
155	State Department UAP Cable 5, Mexico, September 16, 2003	PDF	https://www.war.gov/medialink/ufo/release_1/059uap00013.pdf	Department of State	9/12/03
156	USPER Statement about UAP Sighting	PDF	https://www.war.gov/medialink/ufo/release_1/usper-statement-redacted.pdf	FBI	Late 2025
157	FBI September 2023 Sighting - Composite Sketch	PDF 	https://www.war.gov/medialink/ufo/release_1/2024-04-30-composite-sketch.pdf	FBI	9/1/23
158	FBI September 2023 Sighting - Serial 3	PDF 	https://www.war.gov/medialink/ufo/release_1/serial 5 redacted_redacted.pdf	FBI	9/1/23
159	FBI September 2023 Sighting - Serial 4	PDF 	https://www.war.gov/medialink/ufo/release_1/serial-3_redacted.pdf	FBI	9/1/23
160	FBI September 2023 Sighting - Serial 5	PDF 	https://www.war.gov/medialink/ufo/release_1/serial-4-redacted_redacted.pdf	FBI	9/1/23
161	Western US Event	PDF 	https://www.war.gov/medialink/ufo/release_1/western_us_event_slides_5.08.2026.pdf	Department of War	2023
